18+直播台,#genre#
🌲松视3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
🌲松视1️⃣台,http://lc.aacalive.com:26789/i/ghjnvq5o/8c85giea/index.m3u8
🌲松视2️⃣台,http://lc.aacalive.com:26789/i/ghjnvq5o/8c85fsaf/index.m3u8
极限电影台,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855fdf/index.m3u8
🍌香焦台HD,http://lc.aacalive.com:26789/i/ghjnvq5o/mdfdc123/index.m3u8
潘多啦完美,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855d75/index.m3u8
🌈🅴彩虹E,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855daa/index.m3u8
驚艷台HD,http://lc.aacalive.com:26789/i/ghjnvq5o/sajdxxzc/index.m3u8
HAPPY,http://lc.aacalive.com:26789/i/ghjnvq5o/mdfdc125/index.m3u8

俄罗斯极限电影台(免翻),http://ef90a6cd.rossteleccom.net/iptv/2TBC4G2WWDG6RSUSN5SXSQEC/14158/index.m3u8
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
潘多啦完美(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
香蕉台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/117.ts
香蕉台(免翻),http://125.227.210.55:1009/VideoInput/play.ts
香蕉台(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=Bananachannel
香蕉台,https://stream1.freetv.fun/58de13dd44637831a30fd05decc775f0648b376c707586e3dcbe7da08a87ea53.ctv
香蕉台,https://t.freetv.fun/live/xiang-jiao-2.ts
松视1(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松视2(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松视3(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
松视4,http://58.99.33.2:1935/liveedge2/NRPDJsoL_404_1/chunklist_w1221017520.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Happy(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=HappyHD
奧視,http://125.227.210.55:1022/VideoInput/play.ts
奧視2,http://125.227.210.55:3031/VideoInput/play.ts
HustlerHD,http://88b9da48.kazmazpaz.ru:80/iptv/MVTMCC4UTAZVDT/244/manifest.m3u8
PlayboyHD,http://79.127.207.193:80/PlayboyHD/playlist.m3u8 
BangU,http://79.127.207.193:80/BangU/playlist.m3u8 
RealityKings,http://79.127.207.193:80/RealityKings/playlist.m3u8 
BabesTV,http://79.127.207.193:80/BabesTV/playlist.m3u8 
dorcel,http://79.127.207.193:80/DorcelHD/playlist.m3u8 
hustler,http://79.127.207.193:80/Hustler/playlist.m3u8 
FrenchLover,http://79.127.207.193:80/FrenchLover/playlist.m3u8 
Leo HD,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8
EroxHD,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
Dorcel,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
Brazzers HD,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
Hustsler HD,http://88.212.7.11/live/test_hustsler_hd_hevc/playlist.m3u8
realitykings,http://88.212.7.11/live/test_realitykings_sd_hevc/playlist.m3u8
Barely Legal,http://94.228.166.20:8000/play/a02r/index.m3u8 
Exxo,http://94.228.166.20:8000/play/a077/index.m3u8 
Dorcel Tv,http://212.70.131.37:8000/play/a080
